rank,school_name,state,school_sector,school_type,icsea,value_score,affordability_percentile,sa2_name
211,"Spalding Primary School",SA,"Government","Primary",1057,82.43,94.61,"Jamestown"
212,"Ruyton Girls' School",VIC,"Independent","Combined",1198,82.42,57.78,"Kew - South"
213,"Hughes Primary School",ACT,"Government","Primary",1157,82.41,92.01,"Hughes"
214,"Toowong State School",QLD,"Government","Primary",1121,82.39,68.74,"Toowong"
215,"St Sebastian's Primary School",QLD,"Catholic","Primary",1113,82.34,84.42,"Yeronga"
216,"St Mary's School",VIC,"Catholic","Primary",1158,82.33,71.66,"Malvern East"
217,"St Robert's School",VIC,"Catholic","Primary",1099,82.32,86.92,"Newtown (Vic.)"
218,"MacRobertson Girls High School",VIC,"Government","Secondary",1186,82.28,75.12,"Albert Park"
219,"Methodist Ladies' College",VIC,"Independent","Combined",1190,82.27,57.78,"Kew - South"
220,"Brunswick Secondary College",VIC,"Government","Secondary",1119,82.24,80.17,"Brunswick - South"
221,"St Joseph's School",VIC,"Catholic","Primary",1164,82.24,83.89,"Elsternwick"
222,"Galilee Regional Catholic Primary School",VIC,"Catholic","Primary",1154,82.24,86.44,"South Melbourne"
223,"Bongongo Public School",NSW,"Government","Primary",1062,82.22,90.29,"Gundagai"
224,"Malvern Central School",VIC,"Government","Primary",1163,82.22,86.18,"Malvern - Glen Iris"
225,"Fig Tree Pocket State School",QLD,"Government","Primary",1169,82.22,84.88,"Fig Tree Pocket"
226,"The Anglican School Googong",NSW,"Independent","Combined",1129,82.2,74.76,"Googong"
227,"Casa Mia Montessori Community School",WA,"Independent","Primary",1094,82.19,75.57,"Bassendean - Eden Hill - Ashfield"
228,"Northcote Primary School",VIC,"Government","Primary",1166,82.18,78.24,"Northcote - West"
229,"Auburn Primary School",VIC,"Government","Primary",1162,82.17,84.09,"Hawthorn East"
230,"Holy Spirit School",QLD,"Catholic","Primary",1138,82.16,88.74,"New Farm"
231,"Moonee Ponds Primary School",VIC,"Government","Primary",1145,82.12,84.26,"Moonee Ponds"
232,"Auburn South Primary School",VIC,"Government","Primary",1165,82.11,84.09,"Hawthorn East"
233,"Santa Maria College",WA,"Independent","Combined",1133,82.1,77.49,"Melville"
234,"Christian College Geelong",VIC,"Independent","Combined",1098,82.03,78.95,"Highton"
235,"Braemar College",VIC,"Independent","Combined",1121,82.01,75.65,"Macedon"
236,"Lyneham High School",ACT,"Government","Secondary",1132,81.97,84.19,"Lyneham"
237,"Preshil, The Margaret Lyttle Memorial School",VIC,"Independent","Combined",1154,81.94,57.78,"Kew - South"
238,"Our Lady of Fatima School",WA,"Catholic","Primary",1116,81.92,82.25,"Bicton - Palmyra"
239,"Sydney Girls High School",NSW,"Government","Secondary",1193,81.9,79.69,"Paddington - Moore Park"
240,"Ascot Vale Primary School",VIC,"Government","Primary",1140,81.89,82.96,"Ascot Vale"
241,"Alfred Deakin High School",ACT,"Government","Secondary",1132,81.87,84.46,"Deakin"
242,"Victorian College Of The Arts Secondary School",VIC,"Government","Secondary",1141,81.85,64.45,"Southbank - East"
243,"Yarralumla Primary School",ACT,"Government","Primary",1142,81.83,88.4,"Yarralumla"
244,"St Joseph's School",VIC,"Catholic","Primary",1124,81.82,76.23,"Brunswick West"
245,"St Patrick's College",QLD,"Catholic","Combined",1092,81.76,91.07,"Sandgate - Shorncliffe"
246,"Queensland Academy for Science Mathematics and Technology",QLD,"Government","Secondary",1220,81.73,68.74,"Toowong"
247,"Mancel College",QLD,"Independent","Special",1084,81.7,84.88,"Fig Tree Pocket"
248,"St Kilda Park Primary School",VIC,"Government","Primary",1142,81.64,84.61,"St Kilda - West"
249,"Elwood College",VIC,"Government","Secondary",1096,81.61,88.61,"Elwood"
250,"St Columba's Primary School",QLD,"Catholic","Primary",1155,81.55,92.44,"Grange"
251,"Melbourne Girls College",VIC,"Government","Secondary",1142,81.53,83.69,"Richmond (South) - Cremorne"
252,"St Joseph's School",VIC,"Catholic","Primary",1110,81.52,78.24,"Northcote - West"
253,"Mount Macedon Primary School",VIC,"Government","Primary",1147,81.49,75.65,"Macedon"
254,"Alphington Primary School",VIC,"Government","Primary",1173,81.43,82.6,"Clifton Hill - Alphington"
255,"The Hills Montessori School",SA,"Independent","Combined",1105,81.42,78.29,"Aldgate - Stirling"
256,"Cottesloe Primary School",WA,"Government","Primary",1153,81.36,93.44,"Mosman Park - Peppermint Grove"
257,"Siena College Ltd",VIC,"Catholic","Secondary",1153,81.34,69.06,"Surrey Hills (West) - Canterbury"
258,"Canberra Montessori School",ACT,"Independent","Primary",1128,81.34,73.43,"Holder"
259,"Regent College",WA,"Independent","Primary",1142,81.29,74.03,"Victoria Park - Lathlain - Burswood"
260,"St Agatha's Primary School",QLD,"Catholic","Primary",1159,81.26,90.54,"Clayfield"
261,"Xavier College",VIC,"Catholic","Combined",1154,81.25,57.78,"Kew - South"
262,"Cudgee Primary School",VIC,"Government","Primary",1052,81.24,93.72,"Moyne - East"
263,"Mentone Grammar School",VIC,"Independent","Combined",1144,81.22,67.78,"Mentone"
264,"Holy Trinity Primary School",ACT,"Catholic","Primary",1145,81.21,90.65,"Curtin"
265,"Giant Steps Melbourne",VIC,"Independent","Primary",1125,81.21,61.17,"Kew - West"
266,"Helena College",WA,"Independent","Combined",1114,81.2,75.04,"Glen Forrest - Darlington"
267,"Sydney Boys High School",NSW,"Government","Secondary",1189,81.16,79.69,"Paddington - Moore Park"
268,"Wembley Primary School",WA,"Government","Primary",1166,81.16,90.72,"Wembley - West Leederville - Glendalough"
269,"Santa Maria College",VIC,"Catholic","Secondary",1110,81.11,77.9,"Northcote - East"
270,"Trinity Grammar School Kew",VIC,"Independent","Combined",1180,81.09,57.78,"Kew - South"
271,"Andale School",VIC,"Independent","Special",1132,81.07,57.78,"Kew - South"
272,"North Sydney Boys High School",NSW,"Government","Secondary",1195,81.07,73.7,"North Sydney - Lavender Bay"
273,"Swanbourne Primary School",WA,"Government","Primary",1149,81.03,89.15,"Swanbourne - Mount Claremont"
274,"Milton State School",QLD,"Government","Primary",1151,81,86.15,"Paddington - Milton"
275,"Mount Lawley Primary School",WA,"Government","Primary",1155,80.99,92.94,"Mount Lawley - Inglewood"
276,"Tombolo Academy",VIC,"Independent","Special",1119,80.98,66.5,"Hampton"
277,"Chilwell Primary School",VIC,"Government","Primary",1139,80.97,86.92,"Newtown (Vic.)"
278,"Ballarat Steiner School",VIC,"Independent","Primary",1076,80.97,81.49,"Buninyong"
279,"Lourdes Hill College",QLD,"Catholic","Combined",1120,80.96,92.82,"Hawthorne"
280,"Graceville State School",QLD,"Government","Primary",1156,80.95,82.93,"Chelmer - Graceville"
281,"St Dominic's School",WA,"Catholic","Primary",1108,80.92,80.26,"Innaloo - Doubleview"
282,"St Kilda Primary School",VIC,"Government","Primary",1126,80.9,83.28,"St Kilda - Central"
283,"St Bernadette's School",VIC,"Catholic","Primary",1149,80.89,71.45,"Ivanhoe"
284,"Wellers Hill State School",QLD,"Government","Primary",1139,80.88,84.52,"Tarragindi"
285,"Hawker Primary School",ACT,"Government","Primary",1129,80.85,88.54,"Hawker"
286,"St Benedict School",SA,"Independent","Primary",1109,80.85,76.94,"Adelaide Hills"
287,"St Joseph's College",NSW,"Independent","Secondary",1130,80.84,70.59,"Hunters Hill - Woolwich"
288,"Our Lady of Perpetual Succour School",VIC,"Catholic","Primary",1142,80.77,67.19,"Surrey Hills (East) - Mont Albert"
289,"Yarranlea Primary School",QLD,"Independent","Primary",1146,80.77,62.15,"Mount Gravatt"
290,"East Fremantle Primary School",WA,"Government","Primary",1149,80.76,81.82,"Fremantle"
291,"Port Neill Primary School",SA,"Government","Primary",1060,80.73,87.5,"Eyre Peninsula"
